request_id,requested_date,scheduled_date,completed_date,waiting_hours_to_schedule,waiting_days_to_schedule,sla_target_hours,sla_met_flag
REQ-001059,2025-09-23,2025-09-24,2025-09-24,38.0,1.58,72,True
REQ-001060,2025-09-23,2025-09-24,,45.0,1.88,218,True
REQ-001061,2025-09-23,2025-09-23,2025-09-23,16.6,0.69,72,True
REQ-001062,2025-09-23,2025-09-24,2025-09-24,35.4,1.48,72,True
REQ-001064,2025-09-23,2025-09-24,2025-09-24,28.1,1.17,168,True
REQ-001065,2025-09-23,2025-09-25,2025-09-25,54.0,2.25,168,True
REQ-001066,2025-09-23,2025-09-23,,20.3,0.85,168,True
REQ-001067,2025-09-23,2025-09-23,2025-09-23,12.2,0.51,185,True
REQ-001068,2025-09-23,2025-09-24,,29.9,1.24,185,True
REQ-001069,2025-09-23,2025-09-23,2025-09-23,8.7,0.36,72,True
REQ-001070,2025-09-23,2025-09-23,2025-09-23,1.6,0.07,31,True
REQ-001071,2025-09-23,2025-09-24,,29.2,1.22,72,True
REQ-001073,2025-09-23,2025-09-23,2025-09-23,9.2,0.38,185,True
REQ-001074,2025-09-23,2025-09-27,2025-09-27,103.9,4.33,168,True
REQ-001075,2025-09-24,2025-09-25,,26.1,1.09,185,True
REQ-001076,2025-09-24,2025-09-24,2025-09-24,17.5,0.73,168,True
REQ-001078,2025-09-24,2025-09-24,2025-09-24,19.6,0.82,168,True
REQ-001079,2025-09-24,2025-09-24,,19.3,0.8,79,True
REQ-001080,2025-09-24,2025-09-24,2025-09-24,7.3,0.3,24,True
REQ-001081,2025-09-24,2025-09-25,2025-09-25,35.5,1.48,94,True
REQ-001082,2025-09-24,2025-09-29,,143.9,5.99,185,True
REQ-001083,2025-09-24,2025-09-24,,6.8,0.28,72,True
REQ-001084,2025-09-24,2025-09-24,2025-09-24,8.7,0.36,26,True
REQ-001085,2025-09-24,2025-09-24,,19.2,0.8,31,True
REQ-001086,2025-09-24,2025-09-24,2025-09-24,23.4,0.98,168,True
REQ-001087,2025-09-24,2025-09-24,2025-09-24,10.4,0.43,5,False
REQ-001088,2025-09-24,2025-09-24,2025-09-24,20.7,0.86,72,True
REQ-001089,2025-09-24,2025-09-24,2025-09-24,18.6,0.77,31,True
REQ-001090,2025-09-24,2025-09-24,2025-09-24,7.6,0.31,218,True
REQ-001091,2025-09-24,2025-09-24,2025-09-24,17.3,0.72,79,True
REQ-001092,2025-09-24,2025-09-25,2025-09-25,33.7,1.41,24,False
REQ-001093,2025-09-24,2025-09-24,2025-09-24,11.3,0.47,168,True
REQ-001094,2025-09-24,2025-09-24,,9.9,0.41,5,False
REQ-001095,2025-09-25,2025-09-25,2025-09-25,7.3,0.31,31,True
REQ-001096,2025-09-25,2025-09-27,,55.1,2.3,79,True
REQ-001097,2025-09-25,2025-09-27,,69.8,2.91,185,True
REQ-001098,2025-09-25,2025-09-26,2025-09-26,36.6,1.52,185,True
REQ-001099,2025-09-25,2025-09-29,2025-09-29,96.7,4.03,79,False
REQ-001100,2025-09-25,2025-09-25,2025-09-25,17.1,0.71,5,False
REQ-001101,2025-09-25,2025-09-25,2025-09-25,14.0,0.58,72,True
REQ-001102,2025-09-25,2025-09-25,,16.4,0.68,185,True
REQ-001103,2025-09-25,2025-09-26,,38.1,1.59,79,True
REQ-001104,2025-09-25,2025-09-25,,21.9,0.91,24,True
REQ-001105,2025-09-25,2025-09-26,,31.1,1.3,168,True
REQ-001106,2025-09-25,2025-09-26,2025-09-26,37.1,1.55,72,True
REQ-001107,2025-09-25,2025-09-26,,41.7,1.74,168,True
REQ-001108,2025-09-25,2025-09-25,2025-09-25,22.4,0.93,218,True
REQ-001109,2025-09-25,2025-09-25,,14.0,0.58,168,True
REQ-001110,2025-09-25,2025-09-26,,36.9,1.54,26,False
REQ-001111,2025-09-25,2025-09-25,2025-09-25,19.4,0.81,185,True
REQ-001112,2025-09-25,2025-09-25,2025-09-25,14.1,0.59,72,True
REQ-001113,2025-09-26,2025-09-27,2025-09-27,26.3,1.1,72,True
REQ-001114,2025-09-26,2025-09-26,2025-09-26,11.4,0.48,168,True
REQ-001115,2025-09-26,2025-09-29,2025-09-29,90.4,3.77,185,True
REQ-001116,2025-09-26,2025-09-26,,16.2,0.67,72,True
REQ-001117,2025-09-26,2025-09-26,2025-09-26,14.6,0.61,218,True
REQ-001118,2025-09-26,2025-09-26,,11.2,0.47,218,True
REQ-001119,2025-09-26,2025-09-26,2025-09-26,15.4,0.64,24,True
REQ-001120,2025-09-26,2025-09-26,2025-09-26,16.7,0.7,94,True
REQ-001121,2025-09-26,2025-09-27,,27.0,1.13,168,True
REQ-001122,2025-09-26,2025-09-26,,10.6,0.44,24,True
REQ-001123,2025-09-26,2025-09-27,,31.2,1.3,218,True
REQ-001124,2025-09-26,2025-09-27,2025-09-27,30.1,1.26,94,True
REQ-001125,2025-09-26,2025-09-27,2025-09-27,45.2,1.88,185,True
REQ-001126,2025-09-26,2025-09-29,2025-09-29,89.2,3.72,168,True
REQ-001127,2025-09-26,2025-09-27,2025-09-27,34.5,1.44,31,False
REQ-001128,2025-09-26,2025-09-27,2025-09-27,35.6,1.48,72,True
REQ-001129,2025-09-26,2025-09-27,2025-09-27,30.3,1.26,218,True
REQ-001130,2025-09-26,2025-09-26,,21.7,0.91,72,True
REQ-001131,2025-09-27,2025-09-28,,39.3,1.64,218,True
REQ-001132,2025-09-27,2025-09-28,,25.1,1.04,31,True
REQ-001134,2025-09-27,2025-09-27,2025-09-27,6.8,0.28,72,True
REQ-001135,2025-09-27,2025-09-30,,79.0,3.29,168,True
REQ-001136,2025-09-27,2025-09-27,2025-09-27,14.1,0.59,168,True
REQ-001138,2025-09-28,2025-09-30,,72.0,3.0,168,True
REQ-001139,2025-09-28,2025-09-29,2025-09-29,37.7,1.57,24,False
REQ-001140,2025-09-28,2025-09-29,2025-09-29,45.0,1.87,218,True
REQ-001141,2025-09-28,2025-09-28,,3.6,0.15,72,True
REQ-001142,2025-09-28,2025-09-28,,14.9,0.62,218,True
REQ-001143,2025-09-28,2025-09-29,,46.0,1.92,72,True
REQ-001145,2025-09-28,2025-09-29,,33.0,1.38,168,True
REQ-001146,2025-09-29,2025-09-30,2025-09-30,37.8,1.58,218,True
REQ-001147,2025-09-29,2025-09-29,2025-09-29,17.6,0.73,24,True
REQ-001148,2025-09-29,2025-09-29,,11.0,0.46,185,True
REQ-001149,2025-09-29,2025-09-29,,9.5,0.4,24,True
REQ-001150,2025-09-29,2025-09-29,,7.8,0.33,31,True
REQ-001151,2025-09-29,2025-09-30,2025-09-30,24.7,1.03,168,True
REQ-001152,2025-09-29,2025-09-29,,19.0,0.79,185,True
REQ-001153,2025-09-29,2025-10-02,2025-10-02,78.6,3.28,94,True
REQ-001154,2025-09-29,2025-09-29,2025-09-29,11.3,0.47,72,True
REQ-001155,2025-09-29,2025-10-01,,67.4,2.81,24,False
REQ-001156,2025-09-29,2025-09-29,2025-09-29,3.6,0.15,79,True
REQ-001157,2025-09-29,2025-10-01,2025-10-01,55.2,2.3,26,False
REQ-001158,2025-09-29,2025-10-01,2025-10-01,71.2,2.97,185,True
REQ-001160,2025-09-29,2025-10-01,,66.2,2.76,168,True
REQ-001161,2025-09-29,2025-09-30,,26.4,1.1,79,True
REQ-001163,2025-09-30,2025-09-30,2025-09-30,19.8,0.83,218,True
REQ-001164,2025-09-30,2025-10-02,,59.7,2.49,94,True
REQ-001165,2025-09-30,2025-10-02,2025-10-02,57.8,2.41,218,True
REQ-001167,2025-09-30,2025-10-03,,94.6,3.94,218,True
REQ-001168,2025-09-30,2025-09-30,,22.8,0.95,94,True
REQ-001169,2025-09-30,2025-09-30,2025-09-30,15.6,0.65,94,True
REQ-001170,2025-09-30,2025-10-01,2025-10-01,25.2,1.05,185,True
REQ-001171,2025-09-30,2025-10-02,2025-10-02,53.8,2.24,185,True
REQ-001172,2025-09-30,2025-10-02,2025-10-02,48.9,2.04,72,True
REQ-001173,2025-09-30,2025-09-30,2025-09-30,11.6,0.48,185,True
REQ-001174,2025-09-30,2025-10-01,2025-10-01,38.0,1.58,24,False
REQ-001175,2025-09-30,2025-10-01,2025-10-01,25.9,1.08,26,True
REQ-001176,2025-09-30,2025-10-01,2025-10-01,29.9,1.24,72,True
REQ-001177,2025-09-30,2025-09-30,2025-09-30,9.9,0.41,5,False
REQ-001178,2025-09-30,2025-10-01,2025-10-01,47.0,1.96,168,True
REQ-001179,2025-09-30,2025-10-01,2025-10-01,26.2,1.09,31,True
REQ-001180,2025-09-30,2025-09-30,2025-09-30,16.0,0.66,24,True
REQ-001181,2025-10-01,2025-10-01,2025-10-01,2.6,0.11,24,True
REQ-001182,2025-10-01,2025-10-04,,75.8,3.16,94,True
REQ-001183,2025-10-01,2025-10-01,2025-10-01,5.6,0.23,24,True
REQ-001184,2025-10-01,2025-10-02,2025-10-02,42.6,1.78,168,True
REQ-001185,2025-10-01,2025-10-03,2025-10-03,53.2,2.22,26,False
REQ-001186,2025-10-01,2025-10-01,2025-10-01,9.5,0.4,31,True
REQ-001187,2025-10-01,2025-10-01,,15.5,0.65,168,True
REQ-001188,2025-10-01,2025-10-01,2025-10-01,6.3,0.26,4,False
REQ-001189,2025-10-01,2025-10-01,2025-10-01,18.3,0.76,72,True
REQ-001190,2025-10-01,2025-10-02,2025-10-02,35.4,1.48,72,True
REQ-001191,2025-10-01,2025-10-01,2025-10-01,23.6,0.98,218,True
REQ-001192,2025-10-01,2025-10-01,2025-10-01,20.4,0.85,218,True
REQ-001193,2025-10-01,2025-10-01,2025-10-01,18.2,0.76,31,True
REQ-001194,2025-10-01,2025-10-02,2025-10-02,45.7,1.91,94,True
REQ-001195,2025-10-01,2025-10-01,2025-10-01,2.8,0.12,94,True
REQ-001196,2025-10-01,2025-10-01,2025-10-01,19.7,0.82,72,True
REQ-001198,2025-10-01,2025-10-05,,116.4,4.85,218,True
REQ-001199,2025-10-02,2025-10-03,,47.2,1.97,31,False
REQ-001200,2025-10-02,2025-10-04,2025-10-04,70.6,2.94,79,True
REQ-001201,2025-10-02,2025-10-02,2025-10-02,10.4,0.43,185,True
REQ-001202,2025-10-02,2025-10-02,2025-10-02,14.8,0.62,72,True
REQ-001203,2025-10-02,2025-10-02,2025-10-02,7.5,0.31,168,True
REQ-001204,2025-10-02,2025-10-02,,6.6,0.27,31,True
REQ-001205,2025-10-02,2025-10-02,2025-10-02,16.1,0.67,218,True
REQ-001206,2025-10-02,2025-10-02,2025-10-02,23.4,0.98,24,True
REQ-001207,2025-10-02,2025-10-02,2025-10-02,13.6,0.57,168,True
REQ-001208,2025-10-02,2025-10-03,,40.0,1.67,168,True
REQ-001209,2025-10-02,2025-10-03,,35.6,1.48,168,True
REQ-001210,2025-10-02,2025-10-03,2025-10-03,47.7,1.99,168,True
REQ-001211,2025-10-02,2025-10-02,,4.1,0.17,72,True
REQ-001212,2025-10-02,2025-10-02,2025-10-02,5.0,0.21,218,True
REQ-001213,2025-10-02,2025-10-03,2025-10-03,33.1,1.38,72,True
REQ-001214,2025-10-02,2025-10-02,2025-10-02,19.5,0.81,218,True
REQ-001215,2025-10-02,2025-10-02,2025-10-02,12.6,0.52,168,True
REQ-001216,2025-10-02,2025-10-02,2025-10-02,10.6,0.44,4,False
REQ-001217,2025-10-02,2025-10-04,,66.5,2.77,185,True
REQ-001218,2025-10-02,2025-10-04,,48.8,2.03,24,False
REQ-001219,2025-10-02,2025-10-03,2025-10-03,33.2,1.38,168,True
REQ-001220,2025-10-02,2025-10-05,2025-10-05,88.7,3.7,94,True
REQ-001221,2025-10-03,2025-10-03,2025-10-03,4.6,0.19,24,True
REQ-001222,2025-10-03,2025-10-05,2025-10-05,53.7,2.24,79,True
REQ-001223,2025-10-03,2025-10-03,2025-10-03,11.6,0.48,24,True
REQ-001224,2025-10-03,2025-10-04,2025-10-04,37.3,1.56,218,True
REQ-001225,2025-10-03,2025-10-04,2025-10-04,28.7,1.2,218,True
REQ-001226,2025-10-03,2025-10-04,2025-10-04,26.8,1.12,168,True
REQ-001227,2025-10-03,2025-10-04,,43.0,1.79,79,True
REQ-001228,2025-10-03,2025-10-03,2025-10-03,17.4,0.73,72,True
REQ-001229,2025-10-03,2025-10-03,2025-10-03,22.5,0.94,168,True
REQ-001230,2025-10-03,2025-10-03,2025-10-03,14.6,0.61,218,True
REQ-001231,2025-10-03,2025-10-04,,39.8,1.66,168,True
REQ-001232,2025-10-03,2025-10-03,,22.7,0.95,72,True
REQ-001233,2025-10-03,2025-10-04,2025-10-04,37.2,1.55,185,True
REQ-001234,2025-10-03,2025-10-04,2025-10-04,28.1,1.17,168,True
REQ-001235,2025-10-03,2025-10-04,2025-10-04,31.1,1.3,72,True
REQ-001236,2025-10-03,2025-10-03,2025-10-03,18.1,0.75,168,True
REQ-001237,2025-10-03,2025-10-03,2025-10-03,12.3,0.51,24,True
REQ-001238,2025-10-03,2025-10-05,,68.3,2.85,168,True
REQ-001239,2025-10-03,2025-10-04,,25.9,1.08,185,True
REQ-001240,2025-10-04,2025-10-04,2025-10-04,22.0,0.92,24,True
REQ-001241,2025-10-04,2025-10-05,2025-10-05,45.3,1.89,168,True
REQ-001242,2025-10-04,2025-10-04,2025-10-04,17.7,0.74,94,True
REQ-001243,2025-10-04,2025-10-04,,16.2,0.67,168,True
REQ-001244,2025-10-04,2025-10-04,2025-10-04,17.5,0.73,24,True
REQ-001246,2025-10-04,2025-10-04,2025-10-04,17.4,0.72,72,True
REQ-001247,2025-10-04,2025-10-05,2025-10-05,47.2,1.96,218,True
REQ-001249,2025-10-05,2025-10-05,2025-10-05,20.7,0.86,94,True
REQ-001250,2025-10-05,2025-10-06,2025-10-06,34.2,1.43,185,True
REQ-001251,2025-10-05,2025-10-09,,109.2,4.55,94,False
REQ-001252,2025-10-05,2025-10-05,2025-10-05,18.7,0.78,185,True
REQ-001254,2025-10-05,2025-10-05,2025-10-05,21.6,0.9,168,True
REQ-001255,2025-10-05,2025-10-06,2025-10-06,45.6,1.9,79,True
REQ-001257,2025-10-05,2025-10-05,,3.8,0.16,168,True
REQ-001258,2025-10-06,2025-10-08,2025-10-08,56.1,2.34,94,True
REQ-001259,2025-10-06,2025-10-08,2025-10-08,49.0,2.04,94,True
REQ-001260,2025-10-06,2025-10-06,,14.0,0.58,72,True
REQ-001262,2025-10-06,2025-10-07,2025-10-07,40.9,1.7,168,True
REQ-001263,2025-10-06,2025-10-06,,21.4,0.89,218,True
REQ-001264,2025-10-06,2025-10-06,2025-10-06,13.9,0.58,24,True
REQ-001265,2025-10-06,2025-10-06,,4.8,0.2,72,True
REQ-001266,2025-10-06,2025-10-07,2025-10-07,45.5,1.9,185,True
REQ-001267,2025-10-06,2025-10-07,2025-10-07,37.4,1.56,26,False
REQ-001268,2025-10-06,2025-10-06,,6.0,0.25,168,True
REQ-001269,2025-10-06,2025-10-06,2025-10-06,23.1,0.96,31,True
REQ-001270,2025-10-06,2025-10-07,2025-10-07,32.8,1.37,185,True
REQ-001271,2025-10-06,2025-10-07,2025-10-07,24.7,1.03,168,True
REQ-001272,2025-10-06,2025-10-06,,22.7,0.94,79,True
REQ-001273,2025-10-07,2025-10-08,2025-10-08,30.9,1.29,168,True
REQ-001274,2025-10-07,2025-10-09,2025-10-09,49.4,2.06,79,True
REQ-001275,2025-10-07,2025-10-07,2025-10-07,16.6,0.69,218,True
REQ-001276,2025-10-07,2025-10-07,2025-10-07,15.9,0.66,168,True
REQ-001277,2025-10-07,2025-10-07,2025-10-07,10.8,0.45,79,True
REQ-001278,2025-10-07,2025-10-08,2025-10-08,26.5,1.1,31,True
REQ-001279,2025-10-07,2025-10-07,2025-10-07,7.2,0.3,4,False
REQ-001280,2025-10-07,2025-10-07,2025-10-07,13.5,0.56,26,True
REQ-001281,2025-10-07,2025-10-08,2025-10-08,26.4,1.1,185,True
REQ-001282,2025-10-07,2025-10-07,,17.2,0.72,218,True
REQ-001283,2025-10-07,2025-10-08,2025-10-08,29.2,1.22,218,True
REQ-001284,2025-10-07,2025-10-08,,40.7,1.7,218,True
REQ-001285,2025-10-07,2025-10-08,2025-10-08,28.5,1.19,218,True
REQ-001286,2025-10-07,2025-10-07,2025-10-07,22.0,0.92,168,True
REQ-001287,2025-10-07,2025-10-08,2025-10-08,40.8,1.7,24,False
REQ-001288,2025-10-07,2025-10-07,2025-10-07,9.3,0.39,72,True
REQ-001289,2025-10-07,2025-10-08,,43.5,1.81,168,True
REQ-001290,2025-10-07,2025-10-07,2025-10-07,20.6,0.86,218,True
REQ-001291,2025-10-07,2025-10-07,2025-10-07,14.5,0.6,79,True
REQ-001292,2025-10-07,2025-10-07,2025-10-07,21.9,0.91,5,False
REQ-001293,2025-10-07,2025-10-08,2025-10-08,30.1,1.25,168,True
REQ-001294,2025-10-07,2025-10-09,,62.9,2.62,218,True
REQ-001295,2025-10-07,2025-10-07,,6.9,0.29,31,True
REQ-001296,2025-10-07,2025-10-11,2025-10-11,99.2,4.13,185,True
REQ-001298,2025-10-08,2025-10-11,,80.0,3.34,218,True
REQ-001299,2025-10-08,2025-10-08,,19.3,0.8,218,True
REQ-001300,2025-10-08,2025-10-08,,8.9,0.37,94,True
REQ-001301,2025-10-08,2025-10-08,2025-10-08,19.8,0.83,24,True
REQ-001302,2025-10-08,2025-10-08,,19.8,0.82,72,True
REQ-001303,2025-10-08,2025-10-08,,19.1,0.79,218,True
REQ-001304,2025-10-08,2025-10-09,2025-10-09,30.0,1.25,168,True
REQ-001305,2025-10-08,2025-10-10,,71.8,2.99,72,True
REQ-001306,2025-10-08,2025-10-08,,18.7,0.78,168,True
REQ-001307,2025-10-08,2025-10-08,2025-10-08,17.6,0.73,24,True
REQ-001308,2025-10-08,2025-10-11,,78.3,3.26,185,True
REQ-001309,2025-10-08,2025-10-08,2025-10-08,17.6,0.73,168,True
REQ-001310,2025-10-08,2025-10-09,,32.5,1.35,168,True
REQ-001311,2025-10-08,2025-10-08,2025-10-08,23.6,0.98,24,True
REQ-001313,2025-10-08,2025-10-10,2025-10-10,53.4,2.22,168,True
REQ-001314,2025-10-08,2025-10-08,2025-10-08,12.7,0.53,26,True
REQ-001315,2025-10-08,2025-10-08,2025-10-08,17.4,0.72,168,True
REQ-001316,2025-10-08,2025-10-09,2025-10-09,36.6,1.53,218,True
REQ-001317,2025-10-08,2025-10-08,2025-10-08,9.4,0.39,94,True
REQ-001318,2025-10-08,2025-10-09,,26.1,1.09,72,True
REQ-001319,2025-10-08,2025-10-10,,71.6,2.98,185,True
REQ-001320,2025-10-09,2025-10-10,,29.0,1.21,218,True
REQ-001321,2025-10-09,2025-10-09,2025-10-09,21.6,0.9,185,True
REQ-001322,2025-10-09,2025-10-09,2025-10-09,11.2,0.47,168,True
REQ-001323,2025-10-09,2025-10-10,,33.7,1.4,185,True
REQ-001324,2025-10-09,2025-10-10,2025-10-10,26.1,1.09,24,False
REQ-001325,2025-10-09,2025-10-09,2025-10-09,23.8,0.99,94,True
REQ-001326,2025-10-09,2025-10-10,,45.0,1.87,218,True
REQ-001327,2025-10-09,2025-10-09,2025-10-09,6.8,0.28,24,True
REQ-001328,2025-10-09,2025-10-11,2025-10-11,58.6,2.44,26,False
REQ-001329,2025-10-09,2025-10-10,,29.2,1.22,168,True
REQ-001330,2025-10-09,2025-10-09,,19.5,0.81,218,True
REQ-001332,2025-10-09,2025-10-10,,34.0,1.42,168,True
REQ-001333,2025-10-09,2025-10-11,2025-10-11,52.8,2.2,26,False
REQ-001334,2025-10-09,2025-10-18,,233.5,9.73,185,False
REQ-001335,2025-10-09,2025-10-09,2025-10-09,13.7,0.57,24,True
REQ-001336,2025-10-09,2025-10-10,2025-10-10,35.0,1.46,24,False
REQ-001337,2025-10-09,2025-10-09,2025-10-09,21.5,0.9,72,True
REQ-001338,2025-10-09,2025-10-09,,10.2,0.43,79,True
REQ-001339,2025-10-09,2025-10-11,2025-10-11,60.7,2.53,72,True
REQ-001340,2025-10-09,2025-10-09,2025-10-09,11.2,0.47,24,True
REQ-001341,2025-10-09,2025-10-09,2025-10-09,13.9,0.58,4,False
REQ-001342,2025-10-09,2025-10-15,,154.6,6.44,185,True
REQ-001343,2025-10-09,2025-10-10,2025-10-10,45.2,1.88,218,True
REQ-001345,2025-10-09,2025-10-10,2025-10-10,24.9,1.04,79,True
REQ-001346,2025-10-09,2025-10-11,,66.1,2.76,218,True
REQ-001347,2025-10-09,2025-10-09,,10.7,0.45,94,True
REQ-001348,2025-10-09,2025-10-09,,6.7,0.28,218,True
REQ-001349,2025-10-09,2025-10-10,,39.8,1.66,168,True
REQ-001350,2025-10-09,2025-10-09,2025-10-09,1.9,0.08,31,True
REQ-001351,2025-10-09,2025-10-15,,146.7,6.11,218,True
REQ-001352,2025-10-10,2025-10-11,2025-10-11,32.2,1.34,72,True
REQ-001353,2025-10-10,2025-10-11,2025-10-11,40.8,1.7,94,True
REQ-001355,2025-10-10,2025-10-10,,8.1,0.34,72,True
REQ-001356,2025-10-10,2025-10-10,2025-10-10,10.3,0.43,24,True
REQ-001358,2025-10-10,2025-10-10,,13.2,0.55,168,True
REQ-001359,2025-10-10,2025-10-11,2025-10-11,39.5,1.64,31,False
REQ-001360,2025-10-10,2025-10-12,,52.2,2.18,72,True
REQ-001361,2025-10-10,2025-10-10,,5.6,0.23,94,True
REQ-001362,2025-10-10,2025-10-11,,30.5,1.27,185,True
REQ-001363,2025-10-10,2025-10-13,2025-10-13,90.4,3.77,218,True
REQ-001364,2025-10-10,2025-10-10,2025-10-10,23.2,0.97,72,True
REQ-001365,2025-10-10,2025-10-11,2025-10-11,30.4,1.26,72,True
REQ-001366,2025-10-10,2025-10-10,2025-10-10,10.6,0.44,72,True
REQ-001367,2025-10-10,2025-10-14,2025-10-14,108.6,4.52,168,True
REQ-001368,2025-10-10,2025-10-10,,12.7,0.53,218,True
REQ-001369,2025-10-11,2025-10-12,2025-10-12,44.9,1.87,31,False
REQ-001370,2025-10-11,2025-10-15,,116.2,4.84,218,True
REQ-001371,2025-10-11,2025-10-14,2025-10-14,80.2,3.34,31,False
REQ-001372,2025-10-11,2025-10-11,,17.7,0.74,168,True
REQ-001373,2025-10-11,2025-10-11,2025-10-11,18.2,0.76,72,True
REQ-001374,2025-10-11,2025-10-13,,57.0,2.37,94,True
REQ-001375,2025-10-11,2025-10-12,,38.2,1.59,168,True
REQ-001376,2025-10-11,2025-10-12,2025-10-12,29.9,1.25,72,True
REQ-001377,2025-10-11,2025-10-11,2025-10-11,11.2,0.47,218,True
REQ-001378,2025-10-12,2025-10-13,2025-10-13,34.7,1.44,26,False
REQ-001379,2025-10-12,2025-10-12,,10.7,0.45,218,True
REQ-001381,2025-10-12,2025-10-12,2025-10-12,23.2,0.97,168,True
REQ-001382,2025-10-12,2025-10-14,2025-10-14,48.2,2.01,94,True
REQ-001383,2025-10-12,2025-10-13,2025-10-13,29.4,1.22,24,False
REQ-001384,2025-10-12,2025-10-13,,30.0,1.25,168,True
REQ-001385,2025-10-12,2025-10-12,2025-10-12,20.8,0.87,72,True
REQ-001386,2025-10-12,2025-10-13,,30.1,1.25,218,True
REQ-001389,2025-10-13,2025-10-15,2025-10-15,59.9,2.5,168,True
REQ-001390,2025-10-13,2025-10-15,2025-10-15,65.1,2.71,218,True
REQ-001391,2025-10-13,2025-10-13,,7.7,0.32,168,True
REQ-001392,2025-10-13,2025-10-14,2025-10-14,26.5,1.1,94,True
REQ-001393,2025-10-13,2025-10-16,2025-10-16,80.3,3.35,79,False
REQ-001394,2025-10-13,2025-10-14,2025-10-14,35.0,1.46,72,True
REQ-001395,2025-10-13,2025-10-14,2025-10-14,24.9,1.04,4,False
REQ-001396,2025-10-13,2025-10-14,2025-10-14,25.9,1.08,168,True
REQ-001397,2025-10-13,2025-10-14,2025-10-14,34.9,1.46,168,True
REQ-001398,2025-10-13,2025-10-13,,13.3,0.56,185,True
REQ-001400,2025-10-13,2025-10-14,2025-10-14,25.3,1.06,72,True
REQ-001401,2025-10-13,2025-10-13,,19.3,0.8,168,True
REQ-001402,2025-10-13,2025-10-13,2025-10-13,22.2,0.93,218,True
REQ-001403,2025-10-13,2025-10-14,2025-10-14,41.9,1.75,31,False
REQ-001404,2025-10-13,2025-10-13,,12.4,0.52,185,True
REQ-001405,2025-10-13,2025-10-13,2025-10-13,17.2,0.72,24,True
REQ-001406,2025-10-13,2025-10-14,,42.0,1.75,218,True
REQ-001407,2025-10-13,2025-10-14,,39.0,1.62,185,True
REQ-001409,2025-10-13,2025-10-13,2025-10-13,12.9,0.54,218,True
REQ-001410,2025-10-13,2025-10-16,,77.4,3.22,94,True
REQ-001411,2025-10-13,2025-10-16,,83.8,3.49,218,True
REQ-001412,2025-10-13,2025-10-14,2025-10-14,26.6,1.11,72,True
REQ-001413,2025-10-13,2025-10-16,,90.7,3.78,31,False
REQ-001414,2025-10-14,2025-10-14,2025-10-14,11.0,0.46,168,True
REQ-001415,2025-10-14,2025-10-14,,21.0,0.87,168,True
REQ-001416,2025-10-14,2025-10-14,2025-10-14,4.0,0.17,24,True
REQ-001417,2025-10-14,2025-10-15,,33.9,1.41,168,True
REQ-001418,2025-10-14,2025-10-15,,30.9,1.29,168,True
REQ-001419,2025-10-14,2025-10-15,,43.5,1.81,168,True
REQ-001420,2025-10-14,2025-10-17,2025-10-17,89.1,3.71,218,True
REQ-001421,2025-10-14,2025-10-15,2025-10-15,33.2,1.38,168,True
REQ-001422,2025-10-14,2025-10-14,2025-10-14,7.4,0.31,24,True
REQ-001423,2025-10-14,2025-10-14,2025-10-14,19.5,0.81,72,True
REQ-001424,2025-10-14,2025-10-15,2025-10-15,24.3,1.01,168,True
REQ-001425,2025-10-14,2025-10-16,2025-10-16,58.0,2.42,218,True
REQ-001426,2025-10-14,2025-10-14,2025-10-14,22.9,0.95,94,True
REQ-001427,2025-10-14,2025-10-15,2025-10-15,30.8,1.29,168,True
REQ-001428,2025-10-14,2025-10-15,,35.3,1.47,72,True
REQ-001429,2025-10-14,2025-10-15,2025-10-15,24.7,1.03,218,True
REQ-001430,2025-10-14,2025-10-18,2025-10-18,104.4,4.35,168,True
REQ-001431,2025-10-14,2025-10-16,2025-10-16,61.6,2.57,168,True
REQ-001432,2025-10-14,2025-10-14,2025-10-14,14.8,0.62,168,True
REQ-001433,2025-10-15,2025-10-15,2025-10-15,9.4,0.39,24,True
REQ-001434,2025-10-15,2025-10-15,2025-10-15,15.2,0.63,24,True
REQ-001436,2025-10-15,2025-10-16,2025-10-16,29.4,1.22,79,True
REQ-001437,2025-10-15,2025-10-15,2025-10-15,18.5,0.77,72,True
REQ-001438,2025-10-15,2025-10-15,2025-10-15,22.3,0.93,24,True
REQ-001439,2025-10-15,2025-10-16,2025-10-16,42.8,1.78,218,True
REQ-001440,2025-10-15,2025-10-16,2025-10-16,43.0,1.79,94,True
REQ-001441,2025-10-15,2025-10-17,,58.1,2.42,94,True
REQ-001442,2025-10-15,2025-10-15,2025-10-15,7.0,0.29,24,True
REQ-001443,2025-10-15,2025-10-16,,44.5,1.85,168,True
REQ-001444,2025-10-15,2025-10-16,2025-10-16,32.7,1.36,79,True
REQ-001445,2025-10-15,2025-10-16,2025-10-16,30.3,1.26,24,False
REQ-001446,2025-10-15,2025-10-15,,8.4,0.35,218,True
REQ-001447,2025-10-15,2025-10-17,,59.3,2.47,24,False
REQ-001448,2025-10-15,2025-10-17,,65.6,2.73,168,True
REQ-001449,2025-10-15,2025-10-15,2025-10-15,5.7,0.24,24,True
REQ-001450,2025-10-15,2025-10-16,2025-10-16,44.9,1.87,168,True
REQ-001451,2025-10-15,2025-10-18,2025-10-18,76.0,3.17,168,True
REQ-001452,2025-10-15,2025-10-15,,18.4,0.77,24,True
