cancellation_id,appointment_id,cancelled_by,cancellation_reason,notice_hours,rebooked_flag
CAN-00492,APT-001587,Client,Transport issue,19.8,True
CAN-00493,APT-001590,Client,Client unwell,8.1,True
CAN-00494,APT-001594,Client,Client unavailable,10.1,True
CAN-00495,APT-001596,Employee,Client declined,19.6,True
CAN-00496,APT-001598,Client,Weather,28.9,True
CAN-00497,APT-001600,Client,Client declined,13.9,True
CAN-00498,APT-001601,Employee,Staff illness,38.9,True
CAN-00499,APT-001602,Employee,Weather,20.7,True
CAN-00500,APT-001605,Client,Client declined,32.0,True
CAN-00501,APT-001611,Organisation,Client unwell,5.5,False
CAN-00502,APT-001618,Employee,Transport issue,5.9,True
CAN-00503,APT-001619,Organisation,Client unavailable,21.5,True
CAN-00504,APT-001625,Client,Client unwell,10.9,True
CAN-00505,APT-001630,Client,Transport issue,26.5,True
CAN-00506,APT-001633,Client,Staff illness,32.3,True
CAN-00507,APT-001634,Client,Staff illness,23.2,False
CAN-00508,APT-001641,Client,Transport issue,29.5,True
CAN-00509,APT-001644,Client,Other,0.0,True
CAN-00510,APT-001646,Client,Client unavailable,18.8,True
CAN-00511,APT-001648,Client,Client unavailable,6.1,True
CAN-00512,APT-001651,Organisation,Client unavailable,27.5,False
CAN-00513,APT-001653,Client,Staff illness,0.0,True
CAN-00514,APT-001654,Client,Staff illness,3.0,False
CAN-00515,APT-001655,Organisation,Duplicate booking,36.8,False
CAN-00516,APT-001662,Employee,Staff illness,0.8,True
CAN-00517,APT-001669,Client,Other,42.9,True
CAN-00518,APT-001672,Organisation,Transport issue,0.0,True
CAN-00519,APT-001679,Client,Duplicate booking,38.5,True
CAN-00520,APT-001682,Employee,Client unavailable,33.4,False
CAN-00521,APT-001685,Organisation,Other,12.7,True
CAN-00522,APT-001690,Client,Duplicate booking,0.3,False
CAN-00523,APT-001692,Client,Other,3.0,True
CAN-00524,APT-001693,Organisation,Duplicate booking,12.1,True
CAN-00525,APT-001697,Client,Client unwell,16.1,True
CAN-00526,APT-001700,Employee,Weather,17.5,False
CAN-00527,APT-001702,Client,Transport issue,59.9,False
CAN-00528,APT-001706,Organisation,Client unavailable,8.4,True
CAN-00529,APT-001712,Client,Other,0.0,True
CAN-00530,APT-001717,Organisation,Client unavailable,36.3,True
CAN-00531,APT-001719,Employee,Client unwell,17.2,False
CAN-00532,APT-001720,Employee,Client unavailable,12.0,False
CAN-00533,APT-001723,Client,Client unwell,29.2,False
CAN-00534,APT-001725,Employee,Weather,17.0,True
CAN-00535,APT-001739,Employee,Client unavailable,13.6,True
CAN-00536,APT-001744,Client,Client declined,0.0,False
CAN-00537,APT-001745,Employee,Transport issue,66.4,False
CAN-00538,APT-001748,Organisation,Client declined,41.0,True
CAN-00539,APT-001750,Employee,Staff illness,73.1,True
CAN-00540,APT-001752,Organisation,Weather,34.8,False
CAN-00541,APT-001754,Client,Staff illness,42.3,True
CAN-00542,APT-001758,Employee,Weather,24.9,False
CAN-00543,APT-001760,Employee,Transport issue,0.0,True
CAN-00544,APT-001769,Organisation,Client unwell,23.5,True
CAN-00545,APT-001771,Employee,Client unavailable,3.3,True
CAN-00546,APT-001774,Client,Other,0.0,True
CAN-00547,APT-001775,Client,Client declined,0.0,True
CAN-00548,APT-001779,Client,Transport issue,29.7,True
CAN-00549,APT-001781,Client,Weather,66.6,True
CAN-00550,APT-001784,Client,Client declined,7.9,False
CAN-00551,APT-001786,Client,Other,0.0,False
CAN-00552,APT-001792,Client,Weather,20.5,True
CAN-00553,APT-001799,Client,Client declined,13.6,False
CAN-00554,APT-001800,Client,Client declined,52.8,True
CAN-00555,APT-001801,Organisation,Client unwell,59.1,True
CAN-00556,APT-001802,Employee,Weather,3.1,False
CAN-00557,APT-001805,Organisation,Other,0.0,False
CAN-00558,APT-001807,Client,Client unavailable,0.0,True
CAN-00559,APT-001812,Client,Duplicate booking,14.4,False
CAN-00560,APT-001815,Employee,Client declined,44.5,False
CAN-00561,APT-001818,Client,Client declined,0.0,True
CAN-00562,APT-001820,Client,Duplicate booking,6.9,True
CAN-00563,APT-001822,Client,Transport issue,17.2,False
CAN-00564,APT-001828,Organisation,Other,0.0,False
CAN-00565,APT-001833,Employee,Client unavailable,47.0,True
CAN-00566,APT-001834,Client,Staff illness,29.0,False
CAN-00567,APT-001836,Client,Duplicate booking,0.0,True
CAN-00568,APT-001839,Client,Staff illness,34.5,True
CAN-00569,APT-001844,Client,Client unwell,37.0,False
CAN-00570,APT-001849,Client,Client declined,16.8,True
CAN-00571,APT-001851,Employee,Client declined,1.3,True
CAN-00572,APT-001860,Client,Weather,7.1,True
CAN-00573,APT-001867,Organisation,Weather,33.0,False
CAN-00574,APT-001868,Employee,Duplicate booking,0.0,True
CAN-00575,APT-001874,Client,Other,0.0,False
CAN-00576,APT-001875,Client,Weather,17.0,True
CAN-00577,APT-001877,Client,Client unavailable,10.8,False
CAN-00578,APT-001884,Organisation,Weather,2.2,True
CAN-00579,APT-001887,Client,Client unwell,0.0,True
CAN-00580,APT-001890,Client,Transport issue,21.2,True
CAN-00581,APT-001891,Employee,Transport issue,71.7,True
CAN-00582,APT-001894,Organisation,Client unavailable,0.0,False
CAN-00583,APT-001904,Client,Client declined,0.0,True
CAN-00584,APT-001908,Employee,Duplicate booking,13.9,True
CAN-00585,APT-001911,Client,Transport issue,33.0,True
CAN-00586,APT-001913,Organisation,Other,38.8,False
CAN-00587,APT-001918,Client,Client declined,13.4,True
CAN-00588,APT-001920,Organisation,Staff illness,42.3,False
CAN-00589,APT-001922,Client,Client unwell,17.1,True
CAN-00590,APT-001929,Client,Transport issue,26.5,True
CAN-00591,APT-001930,Organisation,Staff illness,0.0,True
CAN-00592,APT-001931,Client,Other,18.6,False
CAN-00593,APT-001934,Employee,Staff illness,46.3,False
CAN-00594,APT-001936,Organisation,Duplicate booking,3.4,True
CAN-00595,APT-001937,Employee,Staff illness,9.2,True
CAN-00596,APT-001940,Client,Weather,29.5,True
CAN-00597,APT-001946,Organisation,Client declined,1.1,True
CAN-00598,APT-001950,Client,Duplicate booking,0.0,True
CAN-00599,APT-001952,Client,Client declined,4.8,False
CAN-00600,APT-001954,Organisation,Transport issue,6.0,True
CAN-00601,APT-001959,Client,Duplicate booking,18.7,True
CAN-00602,APT-001961,Client,Transport issue,24.7,False
CAN-00603,APT-001962,Organisation,Client unwell,14.8,True
CAN-00604,APT-001963,Employee,Weather,32.5,True
CAN-00605,APT-001967,Employee,Client unwell,20.4,True
CAN-00606,APT-001970,Client,Client unwell,0.0,True
CAN-00607,APT-001973,Employee,Client declined,2.8,True
CAN-00608,APT-001974,Organisation,Staff illness,27.7,True
CAN-00609,APT-001975,Client,Transport issue,11.8,False
CAN-00610,APT-001976,Employee,Other,49.6,True
CAN-00611,APT-001979,Client,Client unavailable,11.9,True
CAN-00612,APT-001980,Client,Duplicate booking,49.6,True
CAN-00613,APT-001982,Client,Transport issue,0.0,False
CAN-00614,APT-001983,Organisation,Client declined,32.5,False
CAN-00615,APT-001986,Client,Client declined,22.3,True
CAN-00616,APT-001988,Client,Other,6.1,True
CAN-00617,APT-001996,Client,Client unwell,13.2,False
CAN-00618,APT-002000,Organisation,Client unavailable,4.3,True
CAN-00619,APT-002002,Client,Transport issue,3.3,False
CAN-00620,APT-002007,Employee,Client unavailable,11.9,True
CAN-00621,APT-002011,Employee,Other,8.0,True
CAN-00622,APT-002016,Client,Staff illness,3.5,True
CAN-00623,APT-002020,Client,Transport issue,8.8,True
CAN-00624,APT-002021,Organisation,Other,15.5,True
CAN-00625,APT-002022,Client,Other,26.1,False
CAN-00626,APT-002025,Employee,Client unavailable,22.5,True
CAN-00627,APT-002034,Employee,Client declined,0.0,True
CAN-00628,APT-002041,Organisation,Staff illness,6.5,True
CAN-00629,APT-002042,Client,Client unavailable,4.4,True
CAN-00630,APT-002044,Client,Weather,0.2,False
CAN-00631,APT-002047,Client,Weather,17.5,True
CAN-00632,APT-002056,Employee,Transport issue,11.8,True
CAN-00633,APT-002057,Organisation,Other,20.6,False
CAN-00634,APT-002061,Client,Staff illness,45.0,False
CAN-00635,APT-002072,Employee,Other,3.4,True
CAN-00636,APT-002083,Employee,Client unwell,0.0,True
CAN-00637,APT-002087,Client,Transport issue,9.4,False
CAN-00638,APT-002090,Client,Staff illness,3.8,True
CAN-00639,APT-002093,Employee,Duplicate booking,9.3,False
CAN-00640,APT-002097,Employee,Transport issue,15.1,True
CAN-00641,APT-002098,Client,Client unwell,56.8,True
CAN-00642,APT-002100,Employee,Weather,47.2,True
CAN-00643,APT-002103,Organisation,Duplicate booking,34.9,True
CAN-00644,APT-002106,Client,Staff illness,14.0,True
CAN-00645,APT-002109,Employee,Client unavailable,12.6,True
CAN-00646,APT-002110,Employee,Client declined,8.5,True
CAN-00647,APT-002112,Client,Weather,0.0,True
CAN-00648,APT-002114,Client,Transport issue,0.0,False
CAN-00649,APT-002115,Client,Transport issue,19.6,True
CAN-00650,APT-002118,Client,Client declined,41.1,True
CAN-00651,APT-002125,Organisation,Weather,0.0,False
CAN-00652,APT-002126,Employee,Other,0.0,True
CAN-00653,APT-002128,Client,Weather,31.7,True
CAN-00654,APT-002131,Client,Other,57.6,True
CAN-00655,APT-002134,Client,Duplicate booking,9.9,True
CAN-00656,APT-002135,Client,Client declined,22.9,True
CAN-00657,APT-002143,Client,Weather,41.8,True
CAN-00658,APT-002147,Organisation,Other,45.5,True
CAN-00659,APT-002150,Organisation,Other,3.5,False
CAN-00660,APT-002151,Client,Client unavailable,30.0,True
CAN-00661,APT-002160,Employee,Transport issue,11.6,True
CAN-00662,APT-002162,Organisation,Client unavailable,13.4,False
CAN-00663,APT-002164,Employee,Weather,38.8,True
CAN-00664,APT-002166,Client,Client declined,0.0,True
CAN-00665,APT-002167,Client,Client declined,28.4,False
CAN-00666,APT-002174,Organisation,Other,0.1,True
CAN-00667,APT-002179,Organisation,Client declined,0.0,False
CAN-00668,APT-002180,Employee,Staff illness,4.7,False
CAN-00669,APT-002184,Client,Client unavailable,0.0,False
CAN-00670,APT-002191,Employee,Duplicate booking,11.5,False
CAN-00671,APT-002196,Employee,Other,43.7,True
CAN-00672,APT-002197,Organisation,Weather,52.8,False
CAN-00673,APT-002198,Client,Transport issue,16.1,False
CAN-00674,APT-002202,Client,Duplicate booking,0.0,False
CAN-00675,APT-002210,Employee,Duplicate booking,13.6,True
CAN-00676,APT-002211,Client,Client unavailable,0.0,True
CAN-00677,APT-002214,Employee,Client unwell,9.9,True
CAN-00678,APT-002217,Employee,Client declined,29.9,False
CAN-00679,APT-002219,Client,Client declined,2.1,True
CAN-00680,APT-002222,Client,Other,0.0,True
CAN-00681,APT-002226,Client,Transport issue,5.2,True
CAN-00682,APT-002228,Client,Transport issue,48.6,False
CAN-00683,APT-002229,Client,Client declined,0.0,False
CAN-00684,APT-002230,Client,Weather,12.4,True
CAN-00685,APT-002238,Client,Other,12.1,False
CAN-00686,APT-002239,Client,Other,47.6,False
CAN-00687,APT-002244,Employee,Weather,8.1,True
CAN-00688,APT-002245,Client,Client declined,47.7,False
CAN-00689,APT-002247,Client,Duplicate booking,11.8,True
CAN-00690,APT-002248,Employee,Transport issue,0.0,True
CAN-00691,APT-002254,Client,Client unavailable,2.5,False
CAN-00692,APT-002257,Client,Client unwell,0.0,True
CAN-00693,APT-002262,Client,Staff illness,20.4,True
CAN-00694,APT-002269,Organisation,Client unavailable,18.2,True
CAN-00695,APT-002271,Client,Weather,61.6,True
CAN-00696,APT-002272,Client,Client declined,19.9,True
CAN-00697,APT-002278,Employee,Client unwell,24.1,True
CAN-00698,APT-002280,Organisation,Client unwell,27.0,True
CAN-00699,APT-002283,Client,Weather,29.7,True
CAN-00700,APT-002285,Client,Staff illness,0.0,True
CAN-00701,APT-002287,Client,Transport issue,22.5,False
CAN-00702,APT-002292,Client,Client unwell,32.0,True
CAN-00703,APT-002298,Client,Transport issue,14.7,False
CAN-00704,APT-002307,Client,Transport issue,0.0,False
CAN-00705,APT-002313,Client,Duplicate booking,28.8,True
CAN-00706,APT-002315,Organisation,Weather,0.0,True
CAN-00707,APT-002317,Client,Staff illness,11.8,True
CAN-00708,APT-002318,Organisation,Client declined,0.3,True
CAN-00709,APT-002323,Employee,Other,0.0,True
CAN-00710,APT-002328,Client,Weather,0.0,True
CAN-00711,APT-002330,Client,Other,44.9,True
CAN-00712,APT-002334,Client,Staff illness,17.1,True
CAN-00713,APT-002337,Employee,Duplicate booking,19.7,True
CAN-00714,APT-002348,Client,Client unwell,40.9,True
CAN-00715,APT-002349,Client,Duplicate booking,18.2,True
CAN-00716,APT-002366,Employee,Weather,11.0,False
CAN-00717,APT-002369,Employee,Other,88.0,True
CAN-00718,APT-002370,Employee,Staff illness,12.5,False
CAN-00719,APT-002371,Client,Duplicate booking,0.0,False
CAN-00720,APT-002379,Employee,Transport issue,0.0,False
CAN-00721,APT-002382,Client,Client unavailable,0.0,False
CAN-00722,APT-002384,Client,Duplicate booking,16.6,True
CAN-00723,APT-002393,Employee,Staff illness,1.8,True
CAN-00724,APT-002399,Employee,Client unavailable,3.4,True
CAN-00725,APT-002400,Organisation,Other,0.0,True
CAN-00726,APT-002403,Client,Client unavailable,10.7,False
CAN-00727,APT-002409,Organisation,Transport issue,0.0,True
CAN-00728,APT-002414,Client,Client unavailable,7.8,False
CAN-00729,APT-002416,Organisation,Other,0.0,False
CAN-00730,APT-002424,Employee,Transport issue,3.1,False
CAN-00731,APT-002425,Client,Client declined,27.0,False
CAN-00732,APT-002426,Client,Weather,0.0,True
CAN-00733,APT-002428,Client,Duplicate booking,33.8,True
CAN-00734,APT-002431,Client,Other,20.2,True
CAN-00735,APT-002434,Employee,Duplicate booking,35.9,False
CAN-00736,APT-002435,Employee,Client unavailable,31.3,False
CAN-00737,APT-002440,Client,Client unavailable,59.4,False
CAN-00738,APT-002443,Employee,Transport issue,15.9,False
CAN-00739,APT-002446,Organisation,Duplicate booking,0.0,False
CAN-00740,APT-002450,Client,Client declined,0.0,True
CAN-00741,APT-002455,Client,Other,34.3,True
CAN-00742,APT-002457,Client,Other,0.0,True
CAN-00743,APT-002461,Organisation,Client unavailable,41.4,False
CAN-00744,APT-002466,Organisation,Client unavailable,49.8,True
CAN-00745,APT-002467,Employee,Weather,38.5,True
CAN-00746,APT-002471,Employee,Weather,0.0,False
CAN-00747,APT-002473,Organisation,Client unwell,0.0,True
CAN-00748,APT-002477,Client,Transport issue,18.3,True
CAN-00749,APT-002480,Employee,Client unavailable,20.8,True
CAN-00750,APT-002481,Organisation,Weather,49.0,True
CAN-00751,APT-002486,Client,Weather,0.0,True
CAN-00752,APT-002487,Employee,Client declined,7.1,True
CAN-00753,APT-002488,Organisation,Client unavailable,28.3,True
CAN-00754,APT-002489,Client,Transport issue,22.7,True
CAN-00755,APT-002507,Client,Client unavailable,0.0,True
CAN-00756,APT-002513,Client,Client declined,5.6,True
CAN-00757,APT-002516,Organisation,Duplicate booking,0.0,True
CAN-00758,APT-002521,Client,Duplicate booking,52.4,True
CAN-00759,APT-002524,Client,Other,0.0,True
CAN-00760,APT-002525,Employee,Transport issue,24.3,True
CAN-00761,APT-002528,Employee,Other,0.0,False
CAN-00762,APT-002534,Organisation,Client declined,0.0,True
CAN-00763,APT-002538,Client,Weather,8.5,True
CAN-00764,APT-002541,Organisation,Client declined,24.3,True
CAN-00765,APT-002547,Organisation,Transport issue,37.7,True
CAN-00766,APT-002559,Organisation,Staff illness,18.6,False
CAN-00767,APT-002563,Client,Other,17.5,False
CAN-00768,APT-002567,Organisation,Client unavailable,34.4,False
CAN-00769,APT-002569,Employee,Staff illness,23.3,True
CAN-00770,APT-002570,Client,Client unavailable,23.8,True
CAN-00771,APT-002574,Employee,Transport issue,19.9,False
CAN-00772,APT-002576,Organisation,Duplicate booking,20.8,False
CAN-00773,APT-002579,Client,Duplicate booking,23.0,True
CAN-00774,APT-002581,Organisation,Transport issue,0.0,True
CAN-00775,APT-002590,Client,Client unavailable,7.1,True
CAN-00776,APT-002591,Client,Client declined,31.5,True
CAN-00777,APT-002592,Client,Transport issue,18.3,True
CAN-00778,APT-002594,Employee,Duplicate booking,56.4,True
CAN-00779,APT-002595,Employee,Other,33.2,False
CAN-00780,APT-002597,Client,Other,0.0,False
CAN-00781,APT-002598,Organisation,Staff illness,10.5,True
CAN-00782,APT-002602,Employee,Client declined,11.7,False
CAN-00783,APT-002608,Client,Duplicate booking,0.0,True
CAN-00784,APT-002617,Client,Client unavailable,7.0,True
CAN-00785,APT-002620,Client,Staff illness,48.4,True
CAN-00786,APT-002622,Client,Weather,18.9,True
CAN-00787,APT-002624,Client,Staff illness,18.1,True
CAN-00788,APT-002627,Employee,Other,33.3,True
CAN-00789,APT-002628,Employee,Client unavailable,26.8,False
CAN-00790,APT-002630,Employee,Client declined,34.1,False
CAN-00791,APT-002632,Organisation,Duplicate booking,50.2,True
CAN-00792,APT-002638,Client,Client declined,14.9,True
CAN-00793,APT-002642,Client,Other,18.7,True
CAN-00794,APT-002650,Client,Client unwell,22.2,True
CAN-00795,APT-002653,Client,Duplicate booking,63.8,False
CAN-00796,APT-002654,Client,Transport issue,27.5,False
CAN-00797,APT-002658,Employee,Client unwell,17.4,True
CAN-00798,APT-002659,Client,Other,42.9,True
CAN-00799,APT-002662,Organisation,Duplicate booking,20.4,True
CAN-00800,APT-002663,Organisation,Client unavailable,0.0,False
CAN-00801,APT-002664,Employee,Client unavailable,0.0,False
CAN-00802,APT-002671,Organisation,Staff illness,22.3,True
CAN-00803,APT-002674,Client,Client declined,17.3,False
CAN-00804,APT-002675,Client,Other,0.0,False
CAN-00805,APT-002677,Employee,Client declined,22.0,True
CAN-00806,APT-002678,Employee,Weather,26.8,True
CAN-00807,APT-002680,Organisation,Weather,11.4,False
CAN-00808,APT-002686,Client,Client declined,19.1,True
CAN-00809,APT-002688,Client,Other,3.3,True
CAN-00810,APT-002689,Employee,Transport issue,14.5,True
CAN-00811,APT-002691,Organisation,Staff illness,22.6,False
CAN-00812,APT-002692,Organisation,Staff illness,25.1,True
CAN-00813,APT-002693,Client,Staff illness,29.2,True
CAN-00814,APT-002699,Organisation,Duplicate booking,16.1,False
CAN-00815,APT-002703,Client,Client declined,39.3,True
CAN-00816,APT-002704,Organisation,Client unavailable,8.6,True
CAN-00817,APT-002707,Employee,Duplicate booking,11.9,False
CAN-00818,APT-002708,Client,Client declined,54.6,False
CAN-00819,APT-002714,Employee,Weather,23.1,True
CAN-00820,APT-002721,Employee,Transport issue,27.8,True
CAN-00821,APT-002728,Organisation,Duplicate booking,0.0,False
CAN-00822,APT-002729,Organisation,Client unwell,33.9,True
CAN-00823,APT-002733,Client,Client declined,14.1,False
CAN-00824,APT-002736,Client,Client unavailable,45.2,True
CAN-00825,APT-002743,Client,Duplicate booking,0.0,True
CAN-00826,APT-002744,Employee,Transport issue,50.6,False
CAN-00827,APT-002745,Organisation,Client declined,26.4,False
CAN-00828,APT-002746,Client,Staff illness,0.0,False
CAN-00829,APT-002749,Employee,Duplicate booking,0.0,True
CAN-00830,APT-002750,Organisation,Duplicate booking,43.0,True
CAN-00831,APT-002751,Employee,Duplicate booking,50.3,False
CAN-00832,APT-002757,Client,Client declined,42.2,True
CAN-00833,APT-002759,Employee,Other,25.9,True
CAN-00834,APT-002774,Organisation,Client unwell,4.1,True
CAN-00835,APT-002778,Client,Other,43.0,False
CAN-00836,APT-002781,Client,Client declined,26.0,False
CAN-00837,APT-002782,Client,Client unavailable,25.1,True
CAN-00838,APT-002783,Client,Other,0.0,False
CAN-00839,APT-002784,Client,Transport issue,41.0,True
CAN-00840,APT-002789,Employee,Client unavailable,23.3,True
CAN-00841,APT-002790,Organisation,Client declined,20.6,True
CAN-00842,APT-002792,Client,Client unwell,40.3,True
CAN-00843,APT-002793,Employee,Client declined,0.0,True
CAN-00844,APT-002794,Client,Other,0.0,True
CAN-00845,APT-002804,Organisation,Weather,8.4,True
CAN-00846,APT-002808,Client,Staff illness,2.4,True
CAN-00847,APT-002810,Organisation,Client declined,30.1,True
CAN-00848,APT-002811,Employee,Client unwell,12.8,False
CAN-00849,APT-002813,Employee,Client unavailable,47.1,False
CAN-00850,APT-002816,Employee,Weather,65.3,True
CAN-00851,APT-002817,Client,Other,42.1,True
CAN-00852,APT-002822,Client,Other,0.0,False
CAN-00853,APT-002823,Employee,Duplicate booking,36.1,True
CAN-00854,APT-002824,Client,Staff illness,9.2,True
CAN-00855,APT-002827,Organisation,Weather,55.7,True
CAN-00856,APT-002835,Organisation,Duplicate booking,0.8,True
CAN-00857,APT-002837,Client,Client unavailable,0.0,True
CAN-00858,APT-002838,Employee,Client unwell,0.0,True
CAN-00859,APT-002840,Client,Transport issue,38.6,False
CAN-00860,APT-002848,Organisation,Client unwell,14.0,False
CAN-00861,APT-002851,Client,Weather,45.5,True
CAN-00862,APT-002853,Employee,Client unavailable,20.7,True
CAN-00863,APT-002855,Employee,Weather,27.4,False
CAN-00864,APT-002859,Client,Weather,10.2,True
CAN-00865,APT-002862,Client,Client declined,0.0,True
CAN-00866,APT-002866,Employee,Staff illness,38.5,False
CAN-00867,APT-002867,Employee,Duplicate booking,57.1,True
CAN-00868,APT-002875,Client,Other,32.5,True
CAN-00869,APT-002877,Client,Duplicate booking,7.5,False
CAN-00870,APT-002880,Client,Staff illness,7.8,True
CAN-00871,APT-002881,Client,Client declined,18.8,False
CAN-00872,APT-002882,Employee,Transport issue,4.7,True
CAN-00873,APT-002883,Organisation,Transport issue,73.6,True
CAN-00874,APT-002886,Organisation,Staff illness,41.1,True
CAN-00875,APT-002889,Client,Client unavailable,11.4,True
CAN-00876,APT-002890,Employee,Staff illness,7.6,True
CAN-00877,APT-002896,Employee,Staff illness,14.3,False
CAN-00878,APT-002898,Employee,Client unavailable,0.0,False
CAN-00879,APT-002902,Client,Other,7.8,True
CAN-00880,APT-002907,Client,Transport issue,30.1,True
CAN-00881,APT-002913,Client,Transport issue,27.1,True
CAN-00882,APT-002916,Client,Staff illness,0.0,True
CAN-00883,APT-002920,Client,Client unavailable,16.2,True
CAN-00884,APT-002921,Client,Client declined,0.0,True
CAN-00885,APT-002928,Client,Client unavailable,0.0,True
CAN-00886,APT-002930,Employee,Client unwell,16.1,False
CAN-00887,APT-002931,Client,Duplicate booking,24.8,True
CAN-00888,APT-002935,Employee,Weather,27.4,True
CAN-00889,APT-002942,Client,Transport issue,0.0,False
CAN-00890,APT-002945,Organisation,Client unwell,17.1,True
CAN-00891,APT-002950,Client,Client unavailable,0.0,True
CAN-00892,APT-002954,Client,Transport issue,42.6,False
CAN-00893,APT-002960,Organisation,Transport issue,36.1,True
CAN-00894,APT-002963,Organisation,Client declined,5.1,True
CAN-00895,APT-002966,Client,Other,39.4,False
CAN-00896,APT-002973,Client,Client declined,0.0,False
CAN-00897,APT-002977,Client,Staff illness,17.6,False
CAN-00898,APT-002979,Client,Other,23.5,True
CAN-00899,APT-002983,Organisation,Client unwell,0.0,False
CAN-00900,APT-002987,Employee,Transport issue,0.0,True
CAN-00901,APT-002989,Client,Client unavailable,46.8,False
CAN-00902,APT-002990,Client,Transport issue,3.2,False
CAN-00903,APT-002992,Client,Weather,42.6,True
CAN-00904,APT-002993,Client,Transport issue,44.3,False
CAN-00905,APT-002994,Client,Client unwell,22.5,False
CAN-00906,APT-003003,Employee,Client declined,57.4,True
CAN-00907,APT-003007,Employee,Client declined,0.0,True
CAN-00908,APT-003010,Client,Transport issue,17.0,False
CAN-00909,APT-003017,Employee,Other,29.7,False
CAN-00910,APT-003019,Client,Other,39.2,False
CAN-00911,APT-003021,Organisation,Client unavailable,24.2,True
CAN-00912,APT-003022,Client,Duplicate booking,24.2,True
CAN-00913,APT-003026,Employee,Staff illness,15.2,True
CAN-00914,APT-003027,Client,Weather,36.9,True
CAN-00915,APT-003036,Employee,Client unwell,0.0,False
CAN-00916,APT-003041,Employee,Staff illness,9.2,True
CAN-00917,APT-003043,Client,Client unwell,28.5,False
CAN-00918,APT-003046,Client,Staff illness,9.3,True
CAN-00919,APT-003047,Organisation,Transport issue,30.1,False
CAN-00920,APT-003048,Organisation,Client unavailable,0.0,True
CAN-00921,APT-003050,Organisation,Client declined,10.5,True
CAN-00922,APT-003052,Employee,Client unavailable,28.0,True
CAN-00923,APT-003054,Employee,Other,26.8,False
CAN-00924,APT-003055,Employee,Duplicate booking,0.0,True
CAN-00925,APT-003059,Client,Client unavailable,0.0,False
CAN-00926,APT-003060,Organisation,Weather,14.1,True
CAN-00927,APT-003069,Organisation,Transport issue,13.0,True
CAN-00928,APT-003074,Employee,Client declined,46.1,True
CAN-00929,APT-003078,Client,Staff illness,46.5,True
CAN-00930,APT-003082,Organisation,Client unwell,0.0,False
CAN-00931,APT-003087,Client,Staff illness,23.6,False
CAN-00932,APT-003090,Client,Other,24.0,False
CAN-00933,APT-003097,Organisation,Client unwell,53.1,True
CAN-00934,APT-003098,Employee,Client unavailable,17.1,True
CAN-00935,APT-003100,Client,Staff illness,22.6,False
CAN-00936,APT-003102,Client,Client declined,0.0,True
CAN-00937,APT-003103,Client,Client unavailable,0.0,False
CAN-00938,APT-003116,Client,Client unwell,12.4,True
CAN-00939,APT-003130,Client,Staff illness,0.0,True
CAN-00940,APT-003134,Client,Client declined,13.6,False
CAN-00941,APT-003137,Organisation,Weather,40.9,True
CAN-00942,APT-003138,Client,Other,1.8,True
CAN-00943,APT-003142,Employee,Staff illness,1.8,True
CAN-00944,APT-003148,Client,Client unwell,23.2,False
CAN-00945,APT-003155,Employee,Staff illness,2.1,False
CAN-00946,APT-003163,Organisation,Client unwell,33.2,True
CAN-00947,APT-003166,Employee,Staff illness,0.0,True
CAN-00948,APT-003169,Client,Client declined,17.7,False
CAN-00949,APT-003171,Client,Staff illness,0.0,True
CAN-00950,APT-003179,Employee,Client unavailable,23.9,True
CAN-00951,APT-003180,Client,Weather,28.1,True
CAN-00952,APT-003181,Client,Duplicate booking,28.4,True
CAN-00953,APT-003184,Employee,Staff illness,35.3,False
CAN-00954,APT-003189,Client,Weather,18.3,False
CAN-00955,APT-003207,Client,Duplicate booking,22.1,True
CAN-00956,APT-003211,Client,Transport issue,45.2,True
CAN-00957,APT-003215,Employee,Staff illness,0.0,False
CAN-00958,APT-003218,Organisation,Transport issue,18.7,False
CAN-00959,APT-003220,Organisation,Duplicate booking,30.6,False
CAN-00960,APT-003227,Client,Client unwell,27.4,True
CAN-00961,APT-003228,Organisation,Transport issue,38.2,False
CAN-00962,APT-003230,Client,Transport issue,58.6,False
CAN-00963,APT-003233,Employee,Transport issue,5.0,True
CAN-00964,APT-003235,Organisation,Other,28.2,True
CAN-00965,APT-003236,Client,Other,27.3,True
CAN-00966,APT-003237,Client,Client declined,17.2,True
CAN-00967,APT-003248,Employee,Staff illness,38.3,True
CAN-00968,APT-003253,Client,Other,0.0,True
CAN-00969,APT-003257,Organisation,Weather,19.8,True
CAN-00970,APT-003261,Employee,Weather,31.9,True
CAN-00971,APT-003263,Client,Client unavailable,50.2,False
CAN-00972,APT-003268,Client,Client unavailable,25.6,False
CAN-00973,APT-003271,Client,Staff illness,46.9,True
CAN-00974,APT-003276,Client,Other,19.9,True
CAN-00975,APT-003277,Client,Staff illness,12.7,True
CAN-00976,APT-003286,Employee,Weather,0.0,True
CAN-00977,APT-003295,Employee,Staff illness,0.0,True
CAN-00978,APT-003296,Client,Weather,19.5,True
CAN-00979,APT-003298,Client,Transport issue,4.2,True
CAN-00980,APT-003300,Organisation,Duplicate booking,0.0,True
CAN-00981,APT-003307,Organisation,Client unwell,1.9,True
CAN-00982,APT-003308,Client,Weather,0.0,True
CAN-00983,APT-003309,Employee,Client unwell,6.0,True
CAN-00984,APT-003313,Employee,Duplicate booking,46.5,True
