client_id,location_id,client_since_date,complexity_tier,preferred_language,active_flag,consent_data_use_flag,communication_preference
CLT-00412,LOC-07,2022-04-03,High,Arabic,True,True,Email
CLT-00413,LOC-02,2024-06-21,Low,English,True,True,Phone
CLT-00414,LOC-02,2019-10-22,Critical,English,False,True,SMS
CLT-00415,LOC-07,2020-08-30,High,English,True,True,SMS
CLT-00416,LOC-04,2023-06-19,Low,English,True,True,Phone
CLT-00417,LOC-10,2021-08-25,Medium,English,True,True,Phone
CLT-00418,LOC-01,2023-07-24,Low,English,True,True,Phone
CLT-00419,LOC-02,2021-07-14,Critical,English,True,True,Phone
CLT-00420,LOC-06,2023-08-06,High,English,True,True,Phone
CLT-00421,LOC-01,2020-03-04,Low,Arabic,True,True,Email
CLT-00422,LOC-01,2020-12-14,High,English,True,True,Phone
CLT-00423,LOC-01,2023-10-08,High,English,True,True,Phone
CLT-00424,LOC-04,2023-01-10,High,Vietnamese,True,True,Phone
CLT-00425,LOC-02,2025-06-30,Medium,Other,True,True,SMS
CLT-00426,LOC-06,2023-02-10,Low,English,True,True,Phone
CLT-00427,LOC-01,2023-01-31,Medium,Mandarin,True,True,SMS
CLT-00428,LOC-03,2020-06-03,Medium,,True,True,Email
CLT-00429,LOC-03,2023-06-15,Low,English,True,True,Phone
CLT-00430,LOC-01,2020-10-27,Medium,Italian,True,True,Email
CLT-00431,LOC-07,2020-11-13,High,Vietnamese,True,True,Email
CLT-00432,LOC-06,2025-04-09,Medium,English,True,True,Phone
CLT-00433,LOC-01,2020-05-11,Medium,English,True,True,Email
CLT-00434,LOC-01,2023-12-04,Low,Mandarin,True,True,Email
CLT-00435,LOC-08,2021-01-27,Medium,Mandarin,True,True,Phone
CLT-00436,LOC-06,2022-09-29,Low,Vietnamese,True,True,Email
CLT-00437,LOC-09,2021-10-22,Low,English,True,True,Phone
CLT-00438,LOC-03,2024-01-12,Low,English,True,True,Phone
CLT-00439,LOC-01,2020-09-13,Low,Italian,True,False,SMS
CLT-00440,LOC-07,2023-01-12,Low,English,True,True,Phone
CLT-00441,LOC-09,2022-02-05,High,Other,True,True,Phone
CLT-00442,LOC-05,2024-11-19,Medium,English,True,True,Email
CLT-00443,LOC-07,2020-06-29,High,,True,True,Email
CLT-00444,LOC-01,2022-12-14,Medium,Other,True,True,Phone
CLT-00445,LOC-02,2021-12-02,Critical,English,True,True,Phone
CLT-00446,LOC-04,2024-05-29,Low,Vietnamese,True,True,Phone
CLT-00447,LOC-08,2022-09-25,Medium,English,True,False,Phone
CLT-00448,LOC-07,2023-02-11,Medium,English,True,True,Email
CLT-00449,LOC-08,2024-03-30,Low,English,True,True,Email
CLT-00450,LOC-08,2024-01-07,Critical,Arabic,True,True,Post
CLT-00451,LOC-09,2020-02-26,Medium,English,True,True,Phone
CLT-00452,LOC-03,2021-04-04,Low,English,True,True,Phone
CLT-00453,LOC-06,2021-05-12,High,English,True,True,Email
CLT-00454,LOC-04,2025-04-11,High,Mandarin,True,False,Phone
CLT-00455,LOC-04,2025-03-30,Critical,Arabic,True,True,Phone
CLT-00456,LOC-03,2022-11-02,High,English,True,True,Phone
CLT-00457,LOC-05,2021-01-03,Medium,English,True,True,SMS
CLT-00458,LOC-02,2020-06-09,Medium,,True,True,Email
CLT-00459,LOC-05,2025-05-08,Medium,Other,True,True,Phone
CLT-00460,LOC-08,2023-10-03,Low,Vietnamese,True,True,Email
CLT-00461,LOC-07,2022-10-13,Low,English,True,True,Email
CLT-00462,LOC-07,2024-11-11,Low,English,True,True,Email
CLT-00463,LOC-06,2021-12-11,Critical,English,True,True,Phone
CLT-00464,LOC-10,2021-11-21,Low,Arabic,True,True,Email
CLT-00465,LOC-03,2025-05-29,Medium,English,True,True,Email
CLT-00466,LOC-06,2021-01-07,Low,English,True,True,Phone
CLT-00467,LOC-05,2019-08-03,Critical,English,True,True,Phone
CLT-00468,LOC-05,2025-03-15,Low,English,True,True,Phone
CLT-00469,LOC-05,2022-12-31,High,English,True,True,Phone
CLT-00470,LOC-03,2020-12-31,Medium,Other,True,True,SMS
CLT-00471,LOC-04,2025-03-05,Medium,English,False,True,Email
CLT-00472,LOC-09,2021-05-13,Low,English,True,True,Phone
CLT-00473,LOC-08,2023-07-31,High,English,True,True,Email
CLT-00474,LOC-04,2020-01-27,Low,English,False,True,Phone
CLT-00475,LOC-03,2021-01-25,Medium,Greek,True,True,Phone
CLT-00476,LOC-03,2020-10-17,Low,English,True,True,Phone
CLT-00477,LOC-05,2022-08-02,Low,English,True,True,Post
CLT-00478,LOC-08,2023-02-20,Low,English,True,True,Phone
CLT-00479,LOC-10,2023-10-28,Low,English,True,True,Post
CLT-00480,LOC-10,2020-09-04,Medium,Greek,True,True,Email
CLT-00481,LOC-04,2024-06-04,High,English,True,True,Email
CLT-00482,LOC-06,2023-06-12,High,English,True,True,Email
CLT-00483,LOC-02,2024-03-12,High,English,True,True,Phone
CLT-00484,LOC-06,2023-12-29,Medium,Other,True,True,Phone
CLT-00485,LOC-09,2023-09-01,Medium,English,False,True,Phone
CLT-00486,LOC-07,2024-09-17,Medium,English,True,True,Phone
CLT-00487,LOC-07,2024-06-30,Low,Vietnamese,True,True,SMS
CLT-00488,LOC-02,2020-09-01,Medium,Vietnamese,True,True,Email
CLT-00489,LOC-06,2024-08-10,Low,English,True,True,SMS
CLT-00490,LOC-08,2024-07-19,Low,Italian,True,True,SMS
CLT-00491,LOC-04,2022-11-02,High,English,True,True,Email
CLT-00492,LOC-02,2020-07-07,Medium,Arabic,True,True,Email
CLT-00493,LOC-05,2021-10-16,Medium,English,True,True,Email
CLT-00494,LOC-03,2025-03-05,Medium,English,True,True,Email
CLT-00495,LOC-05,2024-06-21,Medium,Mandarin,True,False,Phone
CLT-00496,LOC-01,2021-11-24,Medium,Arabic,True,True,SMS
CLT-00497,LOC-03,2020-06-04,Medium,English,True,True,Email
CLT-00498,LOC-09,2023-07-17,High,Vietnamese,True,True,Phone
CLT-00499,LOC-10,2020-11-06,Critical,Vietnamese,True,True,SMS
CLT-00500,LOC-06,2022-06-20,Low,English,True,True,Post
CLT-00501,LOC-05,2020-02-05,High,English,True,True,Phone
CLT-00502,LOC-03,2021-05-21,Medium,English,True,True,Phone
CLT-00503,LOC-10,2020-10-30,Low,English,True,True,Post
CLT-00504,LOC-06,2020-06-28,High,English,True,True,Email
CLT-00505,LOC-07,2022-03-15,Critical,English,True,True,Phone
CLT-00506,LOC-08,2022-06-17,Low,English,True,True,Phone
CLT-00507,LOC-07,2020-05-13,Low,Vietnamese,True,True,Phone
CLT-00508,LOC-10,2022-03-21,Medium,Vietnamese,True,True,Phone
CLT-00509,LOC-02,2024-10-26,Low,English,True,True,Phone
CLT-00510,LOC-10,2022-11-02,High,English,True,True,Phone
CLT-00511,LOC-05,2021-07-02,Medium,Arabic,True,True,Email
CLT-00512,LOC-09,2024-04-15,Medium,Greek,True,False,SMS
CLT-00513,LOC-01,2025-04-19,Medium,English,True,True,Phone
CLT-00514,LOC-09,2023-02-23,Medium,Arabic,True,True,Phone
CLT-00515,LOC-02,2021-03-13,Medium,English,False,True,Email
CLT-00516,LOC-09,2024-05-04,Medium,English,True,True,Email
CLT-00517,LOC-06,2024-10-21,Low,Vietnamese,True,True,Phone
CLT-00518,LOC-01,2021-04-13,Low,English,False,False,Email
CLT-00519,LOC-08,2023-07-26,Medium,Greek,True,True,Email
CLT-00520,LOC-03,2022-04-27,Critical,English,True,True,Email
