request_id,employee_id,service_type_id,location_id,urgency,assigned_hours
REQ-004081,EMP-00112,SVC-04,LOC-08,Routine,1.0
REQ-001387,EMP-00133,SVC-09,LOC-03,Routine,1.0
REQ-006677,EMP-00004,SVC-03,LOC-05,Routine,0.75
REQ-003097,EMP-00098,SVC-01,LOC-01,Routine,1.0
REQ-006630,EMP-00128,SVC-04,LOC-02,Routine,1.0
REQ-000749,EMP-00109,SVC-05,LOC-07,Routine,0.75
REQ-006742,EMP-00137,SVC-04,LOC-06,Routine,1.0
REQ-006407,EMP-00064,SVC-09,LOC-06,Routine,1.0
REQ-000304,EMP-00066,SVC-01,LOC-10,Routine,1.0
REQ-000299,EMP-00021,SVC-07,LOC-02,Routine,0.83
REQ-004432,EMP-00025,SVC-04,LOC-06,Routine,1.0
REQ-000193,EMP-00036,SVC-07,LOC-04,Routine,0.83
REQ-005587,EMP-00015,SVC-07,LOC-03,Routine,0.83
REQ-004582,EMP-00148,SVC-05,LOC-02,Routine,0.75
REQ-007309,EMP-00113,SVC-05,LOC-06,Routine,0.75
REQ-001673,EMP-00104,SVC-04,LOC-04,Routine,1.0
REQ-001632,EMP-00075,SVC-04,LOC-07,Routine,1.0
REQ-004445,EMP-00120,SVC-05,LOC-03,Routine,0.75
REQ-001880,EMP-00100,SVC-04,LOC-04,Routine,1.0
REQ-005574,EMP-00093,SVC-01,LOC-08,Routine,1.0
REQ-006476,EMP-00118,SVC-08,LOC-10,Routine,1.5
REQ-006283,EMP-00016,SVC-03,LOC-08,Routine,0.75
REQ-001162,EMP-00035,SVC-03,LOC-05,Routine,0.75
